time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0010979999999999983
time: 71.0, P0: 0.982122240988771, P1: 0.015042189113701237, P2: 0.002835569897527472, TI2: 0.0018113289087561804
time: 72.0, P0: 0.9821245730870106, P1: 0.015037466008277257, P2: 0.002837960904711846, TI2: 0.0018113878177009465
time: 73.0, P0: 0.9821255045028522, P1: 0.015036056370342585, P2: 0.0028384391268049787, TI2: 0.0018109346239525421
time: 74.0, P0: 0.9821218011480688, P1: 0.015045620338404467, P2: 0.0028325785135264077, TI2: 0.0018087773654572802
time: 75.0, P0: 0.9821295436427141, P1: 0.015028070084140074, P2: 0.0028423862731455384, TI2: 0.0018108426304311502
time: 76.0, P0: 0.9821223683004567, P1: 0.015045849500640904, P2: 0.0028317821989020508, TI2: 0.001807413898445004
time: 77.0, P0: 0.9821265074323309, P1: 0.01503682589816775, P2: 0.0028366666695011306, TI2: 0.0018081592371700114
time: 78.0, P0: 0.982127153474229, P1: 0.01503607186459958, P2: 0.002836774661171176, TI2: 0.0018076211869419315
time: 79.0, P0: 0.982124469226365, P1: 0.0150432018007111, P2: 0.002832328972923574, TI2: 0.0018058597465582483
time: 80.0, P0: 0.9821284277220044, P1: 0.015034594043029176, P2: 0.0028369782349661828, TI2: 0.0018065505129615412
time: 81.0, P0: 0.9821265194975856, P1: 0.015039877984001887, P2: 0.0028336025184123193, TI2: 0.001805083020826526
time: 82.0, P0: 0.9821296517721606, P1: 0.015033219274713502, P2: 0.0028371289531256647, TI2: 0.0018054771809648323
time: 83.0, P0: 0.9821277463737614, P1: 0.015038488660405367, P2: 0.0028337649658329543, TI2: 0.0018040185920712747
time: 84.0, P0: 0.9821316211183393, P1: 0.015030063550813329, P2: 0.0028383153308471206, TI2: 0.0018046942125075703
time: 85.0, P0: 0.9821285761858322, P1: 0.015038024209002132, P2: 0.0028333996051654784, TI2: 0.001802823419333089
time: 86.0, P0: 0.9821326647948453, P1: 0.015029084813600681, P2: 0.002838250391553753, TI2: 0.0018035855967081873
time: 87.0, P0: 0.9821327405983576, P1: 0.015029646138042963, P2: 0.0028376132635991084, TI2: 0.001802872665241179
time: 88.0, P0: 0.9821274293762666, P1: 0.015042963111514313, P2: 0.0028296075122188386, TI2: 0.0018001781359519888
time: 89.0, P0: 0.9821336052818328, P1: 0.015029068381316008, P2: 0.002837326336850958, TI2: 0.0018017210550179226
time: 90.0, P0: 0.9821298342099408, P1: 0.01503872985337006, P2: 0.0028314359366888907, TI2: 0.0017996017267478401
time: 91.0, P0: 0.9821340510207855, P1: 0.015029467810129718, P2: 0.002836481169084454, TI2: 0.001800430148298624
time: 92.0, P0: 0.9821320551715502, P1: 0.015034917065585938, P2: 0.0028330277628635415, TI2: 0.001798972591313018
time: 93.0, P0: 0.9821354797020325, P1: 0.015027524124164604, P2: 0.0028369961738025874, TI2: 0.0017995164717697775
time: 94.0, P0: 0.9821339340413788, P1: 0.015031899660748489, P2: 0.0028341662978724077, TI2: 0.0017982322564933015
