time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -8.000000000000021e-05(neg)
time: 97.0, P0: 0.9998909663748369, P1: 9.251950143647657e-05, P2: 1.651412372658876e-05, TI2: -0.019954452251110345
time: 98.0, P0: 0.9998956485649199, P1: 8.97635109376478e-05, P2: 1.4587924142489707e-05, TI2: -0.019961060640777368
time: 99.0, P0: 0.9999016505569603, P1: 8.349282132302488e-05, P2: 1.4856621716657094e-05, TI2: -0.019966793935243657
time: 100.0, P0: 0.999906051211507, P1: 8.05882038336501e-05, P2: 1.3360584659424204e-05, TI2: -0.0199726906268475
time: 101.0, P0: 0.9999112644138918, P1: 7.540095188820757e-05, P2: 1.3334634220070267e-05, TI2: -0.01997792977967165
time: 102.0, P0: 0.999915382624846, P1: 7.242949875744368e-05, P2: 1.2187876396566132e-05, TI2: -0.01998319474844942
time: 103.0, P0: 0.9999201123875245, P1: 6.768425326353087e-05, P2: 1.2203359211967353e-05, TI2: -0.01998790902831253
time: 104.0, P0: 0.9999235186972408, P1: 6.572628319876067e-05, P2: 1.075501956046603e-05, TI2: -0.019992763677680304
time: 105.0, P0: 0.9999282493412052, P1: 6.035387684958567e-05, P2: 1.1396781945302597e-05, TI2: -0.019996852559259808
time: 106.0, P0: 0.9999309293369498, P1: 5.950797090620751e-05, P2: 9.562692144067144e-06, TI2: -0.020001366644805656
time: 107.0, P0: 0.9999348643810517, P1: 5.544027023528429e-05, P2: 9.695348713155078e-06, TI2: -0.020005169032338403
time: 108.0, P0: 0.9999378854673969, P1: 5.325816714875018e-05, P2: 8.856365454428732e-06, TI2: -0.02000902910194239
time: 109.0, P0: 0.9999412574335246, P1: 5.0004546687282985e-05, P2: 8.738019788235786e-06, TI2: -0.020012519413736243
time: 110.0, P0: 0.9999440387992085, P1: 4.790279850691042e-05, P2: 8.058402284684426e-06, TI2: -0.020015980396923715
time: 111.0, P0: 0.9999471151660319, P1: 4.4885086857620266e-05, P2: 7.999747110556401e-06, TI2: -0.020019115418921263
time: 112.0, P0: 0.9999496296170746, P1: 4.297498989630592e-05, P2: 7.395393029197582e-06, TI2: -0.020022234224045293
time: 113.0, P0: 0.999952201720524, P1: 4.072824062573038e-05, P2: 7.070038850314269e-06, TI2: -0.02002513168167364
time: 114.0, P0: 0.999954930596438, P1: 3.792221801993128e-05, P2: 7.147185542119836e-06, TI2: -0.020027783410895825
time: 115.0, P0: 0.9999562656795952, P1: 3.820779758443564e-05, P2: 5.526522820481636e-06, TI2: -0.0200307391567746
time: 116.0, P0: 0.9999592912642855, P1: 3.435117947261916e-05, P2: 6.357556241883868e-06, TI2: -0.02003293370804361
time: 117.0, P0: 0.9999606947005744, P1: 3.414025270142259e-05, P2: 5.165046724275705e-06, TI2: -0.020035529653850023
time: 118.0, P0: 0.9999632438820473, P1: 3.1083331200150185e-05, P2: 5.6727867525864335e-06, TI2: -0.020037571095294672
time: 119.0, P0: 0.9999646475359942, P1: 3.056891646333246e-05, P2: 4.78354754235255e-06, TI2: -0.020039863988451957
time: 120.0, P0: 0.99996697395661, P1: 2.774740386038238e-05, P2: 5.278639529453093e-06, TI2: -0.020041695317080707
time: 121.0, P0: 0.9999680180621336, P1: 2.7804119096337837e-05, P2: 4.177818769980459e-06, TI2: -0.020043840243363698
time: 122.0, P0: 0.9999704180551866, P1: 2.455039266505152e-05, P2: 5.031552148205408e-06, TI2: -0.020045386503038533
time: 123.0, P0: 0.9999711886084647, P1: 2.500313141951842e-05, P2: 3.808260115689557e-06, TI2: -0.020047380348349096
time: 124.0, P0: 0.9999730394745295, P1: 2.2804983436142177e-05, P2: 4.155542034160901e-06, TI2: -0.020048883932495532
time: 125.0, P0: 0.9999743802948429, P1: 2.1696380470072077e-05, P2: 3.9233246869602535e-06, TI2: -0.020050456970156002
time: 126.0, P0: 0.9999751426720347, P1: 2.1843394068451397e-05, P2: 3.013933896706805e-06, TI2: -0.02005212873813813
time: 127.0, P0: 0.9999769350155607, P1: 1.9474122609226513e-05, P2: 3.590861829908683e-06, TI2: -0.020053344153730952
time: 128.0, P0: 0.9999776498577904, P1: 1.9542515942429337e-05, P2: 2.807626267078698e-06, TI2: -0.020054842231523408
time: 129.0, P0: 0.9999791248540773, P1: 1.7737817821018168e-05, P2: 3.137328101572292e-06, TI2: -0.020055987525975833
time: 130.0, P0: 0.9999800136147565, P1: 1.722623141290418e-05, P2: 2.7601538304103344e-06, TI2: -0.02005725346092627
time: 131.0, P0: 0.9999812291200209, P1: 1.5867986021158164e-05, P2: 2.9028939578472512e-06, TI2: -0.020058326226063142
time: 132.0, P0: 0.9999819265962956, P1: 1.565088790526723e-05, P2: 2.4225157989743395e-06, TI2: -0.020059504080496778
time: 133.0, P0: 0.9999833216141004, P1: 1.3724170569119456e-05, P2: 2.95421533035786e-06, TI2: -0.02006036739877016
time: 134.0, P0: 0.9999833318299359, P1: 1.4981471894716914e-05, P2: 1.686698169252087e-06, TI2: -0.020061645131766774
time: 135.0, P0: 0.9999852651881665, P1: 1.1658064731188015e-05, P2: 3.0767471020713554e-06, TI2: -0.020062188441064662
time: 136.0, P0: 0.9999848956063113, P1: 1.3681443098749095e-05, P2: 1.4229505898046057e-06, TI2: -0.020063472655721636
time: 137.0, P0: 0.9999863153324343, P1: 1.1444737944038578e-05, P2: 2.2399296215038937e-06, TI2: -0.02006407540281295
time: 138.0, P0: 0.9999866340112904, P1: 1.1738393880258596e-05, P2: 1.6275948291739218e-06, TI2: -0.02006500641646139
time: 139.0, P0: 0.999987384326966, P1: 1.0965943482423453e-05, P2: 1.6497295513398362e-06, TI2: -0.02006573459741489
time: 140.0, P0: 0.9999879802260847, P1: 1.0506278172293574e-05, P2: 1.5134957427648843e-06, TI2: -0.02006646673034217
time: 141.0, P0: 0.999988748303452, P1: 9.594955116963716e-06, P2: 1.656741430793209e-06, TI2: -0.020067091562021445
time: 142.0, P0: 0.9999891950301396, P1: 9.393327707884791e-06, P2: 1.4116421522337546e-06, TI2: -0.020067783387987644
time: 143.0, P0: 0.9999899515699218, P1: 8.421477788971442e-06, P2: 1.6269522889882666e-06, TI2: -0.020068324617633047
time: 144.0, P0: 0.9999903617462379, P1: 8.22247510322991e-06, P2: 1.4157786585518377e-06, TI2: -0.02006894596757966
time: 145.0, P0: 0.9999907852477549, P1: 7.953692707706515e-06, P2: 1.2610595371546116e-06, TI2: -0.020069524188217978
time: 146.0, P0: 0.9999917277830566, P1: 6.429497803499852e-06, P2: 1.8427191396411116e-06, TI2: -0.02006988506391721
time: 147.0, P0: 0.9999910050102628, P1: 8.781289952189951e-06, P2: 2.136997847355773e-07, TI2: -0.020070791310478335
time: 148.0, P0: 0.9999923632612564, P1: 6.213187978640034e-06, P2: 1.423550764717389e-06, TI2: -0.020070939710491918
time: 149.0, P0: 0.9999921095831918, P1: 7.399129843474234e-06, P2: 4.912869644453752e-07, TI2: -0.02007161829622763
time: 150.0, P0: 0.9999930574617483, P1: 5.73369443655313e-06, P2: 1.2088438149089973e-06, TI2: -0.02007184861793362
time: 151.0, P0: 0.9999930181796217, P1: 6.3582128878260505e-06, P2: 6.236074902204575e-07, TI2: -0.020072394572131724
time: 152.0, P0: 0.9999938641708433, P1: 4.877010833230511e-06, P2: 1.2588183231398678e-06, TI2: -0.020072605352520482
time: 153.0, P0: 0.9999936217472704, P1: 5.926312366527284e-06, P2: 4.519403628205876e-07, TI2: -0.020073169806907824
time: 154.0, P0: 0.9999946888791844, P1: 3.876170354562713e-06, P2: 1.43495046077615e-06, TI2: -0.02007325392872388
time: 155.0, P0: 0.9999943344686998, P1: 5.141325392134844e-06, P2: 5.242059077418305e-07, TI2: -0.020073810262792372
time: 156.0, P0: 0.9999946332469484, P1: 4.8507770000102396e-06, P2: 5.159760513469061e-07, TI2: -0.020074117270897286
time: 157.0, P0: 0.9999950186773766, P1: 4.33603895554477e-06, P2: 6.452836675554575e-07, TI2: -0.020074373393709335
time: 158.0, P0: 0.99999522015964, P1: 4.233612959295567e-06, P2: 5.462274004295675e-07, TI2: -0.020074673932239835
time: 159.0, P0: 0.9999955137870806, P1: 3.8961304191737665e-06, P2: 5.90082499935648e-07, TI2: -0.020074923704580944
time: 160.0, P0: 0.9999957841097633, P1: 3.5956462588546755e-06, P2: 6.202439776257293e-07, TI2: -0.020075163865785884
time: 161.0, P0: 0.9999960693252443, P1: 3.243352810835265e-06, P2: 6.8732194461487e-07, TI2: -0.020075382003299926
