time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.003919999999999998
time: 70.0, P0: 0.5620864656915734, P1: 0.3150081746148268, P2: 0.12290535969359992, TI2: 0.5447388940020265
time: 71.0, P0: 0.5619715768443473, P1: 0.3151612803094229, P2: 0.1228671428462298, TI2: 0.5448155660018823
time: 72.0, P0: 0.562043010782246, P1: 0.31487429973323916, P2: 0.12308268948451483, TI2: 0.5449596787022687
time: 73.0, P0: 0.5618430394782215, P1: 0.3152678097838814, P2: 0.12288915073789712, TI2: 0.5449661112596754
time: 74.0, P0: 0.5618965519797772, P1: 0.31505231891948265, P2: 0.12305112910074012, TI2: 0.5450745771209626
time: 75.0, P0: 0.5618258883581814, P1: 0.31515253873621263, P2: 0.12302157290560602, TI2: 0.5451156845474244
time: 76.0, P0: 0.5617387377518365, P1: 0.31530285089096893, P2: 0.1229584113571947, TI2: 0.5451396736053581
time: 77.0, P0: 0.561840352293265, P1: 0.31499849120446494, P2: 0.12316115650227008, TI2: 0.5452408042090049
time: 78.0, P0: 0.5616688620503928, P1: 0.3153713337722067, P2: 0.1229598041774004, TI2: 0.5452109421270073
time: 79.0, P0: 0.5617356657408192, P1: 0.31516594993402997, P2: 0.12309838432515069, TI2: 0.5452827185843311
time: 80.0, P0: 0.5617077419004846, P1: 0.31519841062808474, P2: 0.12309384747143068, TI2: 0.5453061055709458
time: 81.0, P0: 0.5616128342014209, P1: 0.31539994585891434, P2: 0.12298721993966456, TI2: 0.5452943857382432
time: 82.0, P0: 0.5617491488438193, P1: 0.3150384124071563, P2: 0.12321243874902432, TI2: 0.5453832899052047
time: 83.0, P0: 0.5615907836206759, P1: 0.3154033214512875, P2: 0.12300589492803646, TI2: 0.5453351113073601
time: 84.0, P0: 0.5616480785868465, P1: 0.3152423236668511, P2: 0.12310959774630233, TI2: 0.5453815191594554
time: 85.0, P0: 0.5616600692286898, P1: 0.3151951546370483, P2: 0.12314477613426177, TI2: 0.5454047069055715
time: 86.0, P0: 0.5615566601698965, P1: 0.3154334133762598, P2: 0.1230099264538437, TI2: 0.5453732662839469
time: 87.0, P0: 0.5616937887628553, P1: 0.31508365821847906, P2: 0.12322255301866558, TI2: 0.5454487642558099
time: 88.0, P0: 0.5615566106939, P1: 0.3154085511478831, P2: 0.12303483815821688, TI2: 0.5453982274643165
time: 89.0, P0: 0.5616047135521868, P1: 0.3152804797602546, P2: 0.12311480668755853, TI2: 0.5454300931353713
time: 90.0, P0: 0.5616289466085598, P1: 0.31521228815536423, P2: 0.12315876523607582, TI2: 0.5454498186275155
time: 91.0, P0: 0.5615258282594076, P1: 0.31545765275622406, P2: 0.12301651898436826, TI2: 0.5454106907249602
time: 92.0, P0: 0.5616652877573384, P1: 0.3151089659105213, P2: 0.12322574633214022, TI2: 0.5454804585748014
time: 93.0, P0: 0.5615377963660003, P1: 0.31541598811991817, P2: 0.12304621551408133, TI2: 0.5454284191480805
time: 94.0, P0: 0.5615729450195458, P1: 0.31532480683591024, P2: 0.12310224814454379, TI2: 0.5454493031249975
time: 95.0, P0: 0.5616330111642266, P1: 0.3151731526738784, P2: 0.12319383616189485, TI2: 0.5454808249976677
time: 96.0, P0: 0.5615044509872994, P1: 0.31548477927313084, P2: 0.12301076973956958, TI2: 0.5454263187522697
time: 97.0, P0: 0.5616501462100414, P1: 0.31512413942351036, P2: 0.12322571436644812, TI2: 0.5454955681564063
time: 98.0, P0: 0.5615431921483311, P1: 0.315383683796815, P2: 0.12307312405485372, TI2: 0.5454499319065221
time: 99.0, P0: 0.5615535567599206, P1: 0.3153558174790792, P2: 0.12309062576100008, TI2: 0.545457069001079
time: 100.0, P0: 0.5616376253500476, P1: 0.3151474706070136, P2: 0.12321490404293857, TI2: 0.5454972786928904
